Recipe Code,Pickers Count,Time Consumption,P
17C4,2.0,8.0,4P
17C4,2.0,5.0,4P
17C4,2.0,7.0,4P
17C4,2.0,5.0,4P
17C4,2.0,8.0,4P
17C4,2.0,4.0,4P
17C4,2.0,8.0,4P
17C4,2.0,7.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,4.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,4.0,4P
17C4,2.0,5.0,4P
17C4,2.0,7.0,4P
17C4,2.0,6.0,4P
17C4,2.0,8.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,4.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,7.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,7.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,7.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,7.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,6.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,4.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,5.0,4P
17C4,2.0,3.0,4P
17C4,2.0,7.0,4P
17C4,2.0,4.0,4P
17C4,2.0,7.0,4P
17C4,2.0,7.0,4P
17C4,2.0,6.0,4P
