Recipe Code,E,H,M,VE,VH,Meal Kits/Crate
17A2,2,2,1,2,1,5
17B2,2,0,2,2,0,6
17C2,1,2,1,2,0,6
17D2,3,0,3,2,0,5
17E2,3,0,1,3,1,6
17F2,5,1,2,4,0,5
17G2,3,3,1,6,2,4
17H2,2,3,2,4,0,4
17I2,3,1,3,4,0,6
17J2,4,0,0,4,1,6
17O2,1,0,1,2,0,8
18A2,2,0,1,2,1,6
18B2,5,0,1,6,0,6
18C2,3,0,2,2,0,7
18D2,1,3,1,2,0,4
18E2,4,4,1,3,0,4
18F2,2,1,2,2,0,6
18G2,2,0,2,3,1,5
18H2,5,1,3,1,0,5
18I2,1,2,3,4,0,4
18J2,1,0,4,2,0,5
18O2,2,2,2,3,1,4
19A2,2,0,0,0,2,6
19B2,2,1,2,2,0,5
19C2,4,1,3,2,0,5
19D2,2,1,5,2,0,5
19E2,2,0,3,4,0,5
19F2,3,0,3,3,0,5
19G2,3,1,2,2,2,4
19H2,5,0,0,3,1,4
19I2,1,3,3,3,0,4
19J2,2,1,5,3,0,4
19O2,4,3,2,3,1,4
20A2,2,3,2,2,0,6
20B2,2,0,4,4,0,6
20C2,3,0,2,3,2,4
20D2,1,0,3,1,0,8
20E2,1,0,1,2,0,8
20F2,1,2,3,3,0,4
20G2,1,4,3,4,1,4
20H2,1,1,2,3,2,4
20I2,2,0,2,4,1,5
20J2,3,2,2,4,0,4
20O2,0,2,1,2,1,5
21A2,1,3,0,1,0,7
21B2,1,1,5,2,0,5
21C2,0,3,1,2,0,4
21D2,3,0,3,3,1,6
21E2,1,1,3,3,0,5
21F2,1,3,1,1,2,4
21G2,1,1,2,3,1,4
21H2,3,1,3,2,0,5
21I2,4,0,2,3,0,6
21J2,2,2,3,2,0,5
21O2,4,0,0,2,1,6
22A2,3,0,3,3,0,6
22B2,0,0,4,1,1,6
22C2,1,1,4,2,0,6
22D2,2,0,3,1,1,8
22E2,1,1,2,0,0,5
22F2,4,2,0,2,0,7
22G2,1,2,3,3,3,5
22H2,3,0,5,5,0,4
22I2,1,0,1,2,2,6
22J2,2,3,3,3,2,4
22O2,1,2,1,4,2,5
23A2,2,1,2,1,0,6
23B2,3,3,1,1,0,5
23C2,0,1,3,3,0,6
23D2,3,1,2,5,0,5
23E2,2,2,0,1,1,7
23F2,1,2,2,3,1,4
23G2,2,1,3,2,0,5
23H2,2,4,1,5,1,4
23I2,1,0,3,4,0,8
23J2,2,2,1,2,2,5
23O2,3,2,1,1,1,5
23P2,3,2,1,3,1,4
23Q2,2,0,2,3,0,7
17A4,3,0,2,3,4,4
17B4,3,2,0,4,0,4
17C4,0,4,3,2,0,5
17D4,3,0,7,4,0,4
17E4,3,0,3,4,2,5
17F4,8,1,4,6,0,4
17G4,4,7,0,11,4,3
17H4,4,4,4,6,0,3
17I4,2,2,3,8,1,4
17J4,5,0,0,7,2,5
17K4,4,1,1,3,2,5
17L4,3,2,2,3,1,4
17M4,2,0,4,1,0,4
17N4,4,5,1,2,0,3
17O4,1,0,2,3,0,7
17R4,1,2,5,4,0,4
17S4,1,4,2,2,0,5
17T4,1,2,4,4,0,4
