Recipe Code,Pickers Count,Time Consumption,P,E,H,M,VE,VH,Meal Kits/Crate
17C4,2.0,8.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,8.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,8.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,8.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,3.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,3.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,3.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,3.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,3.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,9.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,3.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,8.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,9.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,1.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,8.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,7.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,5.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,6.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,2.0,3.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
17C4,3.0,4.0,4P,0.0,4.0,3.0,2.0,0.0,5.0
